n k p r time
#run1
2048 32 1 1 0.2683
2048 64 0 0 2.9064
2048 64 0 1 1.0957
2048 64 1 0 1.4189
2048 64 1 1 0.5096
2048 128 0 0 5.7255
2048 128 0 1 2.1079
2048 128 1 0 2.6806
2048 128 1 1 0.9876
#run2
2048 256 0 0 10.2937
2048 256 0 1 3.4988
2048 256 1 0 5.0502
2048 256 1 1 1.8376
2048 512 0 0 19.4546
2048 512 0 1 4.9509
2048 512 1 0 9.1334
2048 512 1 1 3.3028
2048 1024 0 0 26.0335
2048 1024 0 1 9.7163
2048 1024 1 0 14.6373
2048 1024 1 1 5.4117
4096 1 0 0 0.2821
4096 1 0 1 0.0917
4096 1 1 0 0.18
4096 1 1 1 0.0503
4096 2 0 0 0.3702
4096 2 0 1 0.1271
4096 2 1 0 0.2227
4096 2 1 1 0.0677
4096 4 0 0 0.5514
4096 4 0 1 0.197
4096 4 1 0 0.3051
4096 4 1 1 0.0998
4096 8 0 0 0.8985
4096 8 0 1 0.3304
4096 8 1 0 0.4776
4096 8 1 1 0.1608
4096 16 0 0 1.5991
4096 16 0 1 0.6102
4096 16 1 0 0.824
4096 16 1 1 0.2856
4096 32 0 0 3.0221
4096 32 0 1 1.1619
4096 32 1 0 1.5025
4096 32 1 1 0.5384
4096 64 0 0 5.8204
4096 64 0 1 2.2016
4096 64 1 0 2.8714
4096 64 1 1 1.0943
4096 128 0 0 8.9596
4096 128 0 1 4.4685
4096 128 1 0 5.487
4096 128 1 1 1.982
4096 256 0 0 21.9521
4096 256 0 1 8.6169
4096 256 1 0 10.8386
4096 256 1 1 3.8453
4096 512 0 0 41.5871
4096 512 0 1 16.4747
4096 512 1 0 19.8259
4096 512 1 1 7.4639
4096 1024 0 0 76.6933
4096 1024 0 1 25.7928
4096 1024 1 0 36.6344
4096 1024 1 1 13.4909
4096 2048 0 0 63.1107
4096 2048 0 1 48.3884
4096 2048 1 0 58.0698
4096 2048 1 1 21.1215
8192 1 0 0 0.6955
8192 1 0 1 0.1867
8192 1 1 0 0.4793
8192 1 1 1 0.1039
8192 2 0 0 0.8618
8192 2 0 1 0.2543
8192 2 1 0 0.5544
8192 2 1 1 0.1329
8192 4 0 0 1.2097
8192 4 0 1 0.3872
8192 4 1 0 0.7402
8192 4 1 1 0.198
8192 8 0 0 1.8977
8192 8 0 1 0.6803
8192 8 1 0 1.0838
8192 8 1 1 0.3156
8192 16 0 0 3.3317
8192 16 0 1 1.227
8192 16 1 0 1.7585
8192 16 1 1 0.5722
8192 32 0 0 6.1195
8192 32 0 1 2.3295
8192 32 1 0 3.1656
8192 32 1 1 1.071
8192 64 0 0 11.956
8192 64 0 1 4.5196
8192 64 1 0 5.8218
8192 64 1 1 2.0502
8192 128 0 0 22.6997
8192 128 0 1 8.7486
8192 128 1 0 11.0291
8192 128 1 1 4.0246
8192 256 0 0 45.8246
8192 256 0 1 16.4514
8192 256 1 0 21.7071
8192 256 1 1 8.0176
8192 512 0 0 86.4699
8192 512 0 1 33.5018
8192 512 1 0 42.715
8192 512 1 1 16.1756
8192 1024 0 0 165.6614
8192 1024 0 1 64.8531
8192 1024 1 0 81.8594
8192 1024 1 1 30.7986
8192 2048 0 0 300.7439
8192 2048 0 1 118.313
8192 2048 1 0 146.9934
8192 2048 1 1 53.9268
#run3
8192 4096 0 0 319.146
8192 4096 0 1 172.0572
8192 4096 1 0 231.4375
8192 4096 1 1 84.6266
16384 1 0 0 1.3511
16384 1 0 1 0.3677
16384 1 1 0 0.9405
16384 1 1 1 0.2013
16384 2 0 0 1.699
16384 2 0 1 0.5125
16384 2 1 0 1.1291
16384 2 1 1 0.2651
16384 4 0 0 2.4036
16384 4 0 1 0.7812
16384 4 1 0 1.4781
16384 4 1 1 0.396
16384 8 0 0 3.9715
16384 8 0 1 1.3277
16384 8 1 0 2.1613
16384 8 1 1 0.6405
16384 16 0 0 6.6064
16384 16 0 1 2.4424
16384 16 1 0 3.5024
16384 16 1 1 1.1316
16384 32 0 0 12.5288
16384 32 0 1 4.7023
16384 32 1 0 6.3021
16384 32 1 1 2.1845
16384 64 0 0 23.6439
16384 64 0 1 8.8634
16384 64 1 0 11.6212
16384 64 1 1 4.128
16384 128 0 0 46.5686
16384 128 0 1 17.7387
16384 128 1 0 22.5347
16384 128 1 1 8.4062
16384 256 0 0 91.6946
16384 256 0 1 36.04
16384 256 1 0 45.133
16384 256 1 1 16.0192
16384 512 0 0 182.2721
16384 512 0 1 68.6534
16384 512 1 0 87.9577
16384 512 1 1 32.1306
16384 1024 0 0 278.4899
16384 1024 0 1 136.4672
16384 1024 1 0 175.6679
16384 1024 1 1 62.7133
16384 2048 0 0 663.4999
16384 2048 0 1 174.9646
16384 2048 1 0 330.7171
16384 2048 1 1 122.3015
16384 4096 0 0 989.846
16384 4096 0 1 384.1004
16384 4096 1 0 597.4222
16384 4096 1 1 212.478
16384 8192 0 0 1943.2622
16384 8192 0 1 776.4276
16384 8192 1 0 951.6819
16384 8192 1 1 336.0094
