label	n(MB)	k=64kB	k=128kB	k=256kB		k=512kB
2^1 	2 		2.8614	5.5381	10.4848		19.029 
2^2		4 		5.7895	11.2211	21.8508		41.707 
2^3		8 		11.7964	22.6346	44.6362		87.2657
2^4		16 		23.8108	45.9406	90.2886		178.5692
2^5		32 		48.634	96.6251	185.7489	374.1425













