n k p r time
2048 32 1 0 0.7374
2048 32 1 1 0.2716
2048 64 0 0 2.8614
2048 64 0 1 1.0915
2048 64 1 0 1.4019
2048 64 1 1 0.514
2048 128 0 0 5.5381
2048 128 0 1 2.1553
2048 128 1 0 2.6511
2048 128 1 1 0.9837
2048 256 0 0 10.4848
2048 256 0 1 4.0962
2048 256 1 0 5.0883
2048 256 1 1 1.8487
2048 512 0 0 19.029
2048 512 0 1 7.5362
2048 512 1 0 9.0199
2048 512 1 1 3.2717
2048 1024 0 0 30.3783
2048 1024 0 1 12.3374
2048 1024 1 0 14.7326
2048 1024 1 1 5.4452
4096 1 0 0 0.2817
4096 1 0 1 0.0908
4096 1 1 0 0.1813
4096 1 1 1 0.0523
4096 2 0 0 0.3647
4096 2 0 1 0.1281
4096 2 1 0 0.2257
4096 2 1 1 0.0683
4096 4 0 0 0.5418
4096 4 0 1 0.1964
4096 4 1 0 0.3156
4096 4 1 1 0.1002
4096 8 0 0 0.9009
4096 8 0 1 0.338
4096 8 1 0 0.4847
4096 8 1 1 0.1619
4096 16 0 0 1.6396
4096 16 0 1 0.6176
4096 16 1 0 0.8389
4096 16 1 1 0.2883
4096 32 0 0 3.0506
4096 32 0 1 1.161
4096 32 1 0 1.5039
4096 32 1 1 0.5427
4096 64 0 0 5.7895
4096 64 0 1 2.2103
4096 64 1 0 2.8423
4096 64 1 1 1.0266
4096 128 0 0 11.2211
4096 128 0 1 4.5266
4096 128 1 0 5.5621
4096 128 1 1 1.9859
4096 256 0 0 21.8508
4096 256 0 1 8.3806
4096 256 1 0 10.6124
4096 256 1 1 3.7605
4096 512 0 0 41.707
4096 512 0 1 15.9175
4096 512 1 0 20.3511
4096 512 1 1 7.3815
4096 1024 0 0 75.2373
4096 1024 0 1 29.8584
4096 1024 1 0 36.2804
4096 1024 1 1 13.5177
4096 2048 0 0 122.6387
4096 2048 0 1 48.2995
4096 2048 1 0 57.5257
4096 2048 1 1 21.5153
8192 1 0 0 0.6721
8192 1 0 1 0.183
8192 1 1 0 0.4823
8192 1 1 1 0.1031
8192 2 0 0 0.8592
8192 2 0 1 0.253
8192 2 1 0 0.5744
8192 2 1 1 0.1363
8192 4 0 0 1.221
8192 4 0 1 0.3946
8192 4 1 0 0.7424
8192 4 1 1 0.1983
8192 8 0 0 1.8947
8192 8 0 1 0.6569
8192 8 1 0 1.0928
8192 8 1 1 0.3275
8192 16 0 0 3.3113
8192 16 0 1 1.2047
8192 16 1 0 1.7731
8192 16 1 1 0.5674
8192 32 0 0 6.2476
8192 32 0 1 2.3011
8192 32 1 0 3.1051
8192 32 1 1 1.1042
8192 64 0 0 11.7964
8192 64 0 1 4.451
8192 64 1 0 5.8332
8192 64 1 1 2.0418
8192 128 0 0 22.6346
8192 128 0 1 8.7685
8192 128 1 0 11.3433
8192 128 1 1 3.9949
8192 256 0 0 44.6362
8192 256 0 1 17.2496
8192 256 1 0 21.7997
8192 256 1 1 8.0028
8192 512 0 0 87.2657
8192 512 0 1 33.2682
8192 512 1 0 41.9907
8192 512 1 1 15.2299
8192 1024 0 0 166.9634
8192 1024 0 1 65.0686
8192 1024 1 0 83.0072
8192 1024 1 1 29.7072
8192 2048 0 0 316.2729
8192 2048 0 1 122.9443
8192 2048 1 0 151.8694
8192 2048 1 1 57.4884
8192 4096 0 0 516.5594
8192 4096 0 1 203.1057
8192 4096 1 0 237.9028
8192 4096 1 1 86.363
16384 1 0 0 1.3562
16384 1 0 1 0.3953
16384 1 1 0 0.9673
16384 1 1 1 0.2186
16384 2 0 0 1.7209
16384 2 0 1 0.5144
16384 2 1 0 1.1664
16384 2 1 1 0.2691
16384 4 0 0 2.4805
16384 4 0 1 0.7906
16384 4 1 0 1.4967
16384 4 1 1 0.4045
16384 8 0 0 3.8896
16384 8 0 1 1.3473
16384 8 1 0 2.2216
16384 8 1 1 0.6709
16384 16 0 0 6.8384
16384 16 0 1 2.5039
16384 16 1 0 3.5461
16384 16 1 1 1.1508
16384 32 0 0 12.3449
16384 32 0 1 4.6739
16384 32 1 0 6.2231
16384 32 1 1 2.1701
16384 64 0 0 23.8108
16384 64 0 1 9.3473
16384 64 1 0 11.9788
16384 64 1 1 4.1292
16384 128 0 0 45.9406
16384 128 0 1 18.0559
16384 128 1 0 22.7147
16384 128 1 1 8.0384
16384 256 0 0 90.2886
16384 256 0 1 34.8166
16384 256 1 0 44.147
16384 256 1 1 15.7626
16384 512 0 0 178.5692
16384 512 0 1 70.0329
16384 512 1 0 86.5679
16384 512 1 1 32.3985
16384 1024 0 0 355.3883
16384 1024 0 1 133.4221
16384 1024 1 0 167.9347
16384 1024 1 1 62.9095
16384 2048 0 0 689.7223
16384 2048 0 1 256.6295
16384 2048 1 0 326.1765
16384 2048 1 1 119.6374
16384 4096 0 0 1229.2186
16384 4096 0 1 476.897
16384 4096 1 0 609.7336
16384 4096 1 1 214.3127
16384 8192 0 0 1990.2708
16384 8192 0 1 771.1113
16384 8192 1 0 932.8015
16384 8192 1 1 337.8418
32768 1 0 0 3.6701
32768 1 0 1 0.7794
32768 1 1 0 2.8666
32768 1 1 1 0.4126
32768 2 0 0 4.3487
32768 2 0 1 1.0515
32768 2 1 0 3.1835
32768 2 1 1 0.546
32768 4 0 0 5.8216
32768 4 0 1 1.5827
32768 4 1 0 3.9156
32768 4 1 1 0.8052
32768 8 0 0 8.651
32768 8 0 1 2.7314
32768 8 1 0 5.3495
32768 8 1 1 1.2772
32768 16 0 0 14.4187
32768 16 0 1 4.7612
32768 16 1 0 8.0797
32768 16 1 1 2.4129
32768 32 0 0 26.2271
32768 32 0 1 9.0618
32768 32 1 0 13.3679
32768 32 1 1 4.3364
32768 64 0 0 48.634
32768 64 0 1 17.7751
32768 64 1 0 24.3922
32768 64 1 1 8.1247
32768 128 0 0 96.6251
32768 128 0 1 36.6426
32768 128 1 0 46.9217
32768 128 1 1 16.2022
32768 256 0 0 185.7489
32768 256 0 1 70.3255
32768 256 1 0 89.4354
32768 256 1 1 32.0929
32768 512 0 0 374.1425
32768 512 0 1 140.6612
32768 512 1 0 186.9183
32768 512 1 1 63.9867
32768 1024 0 0 758.686
32768 1024 0 1 278.5672
32768 1024 1 0 366.1447
32768 1024 1 1 125.4991
32768 2048 0 0 1406.3732
32768 2048 0 1 550.2136
